Designator,Mid X,Mid Y,Rotation,Layer
R111,74.801,-37.477,0.0,top
R112,62.484,-83.008845,90.0,top
R113,74.801,-41.033,0.0,top
R114,58.928,-83.008845,90.0,top
R115,74.801,-44.589,0.0,top
R116,55.372,-83.006845,90.0,top
R117,74.801,-48.145,0.0,top
R118,51.816,-83.008845,90.0,top
R119,74.801,-51.701,0.0,top
R12,55.4535,-111.6305,0.0,top
R120,48.26,-83.008845,90.0,top
R121,74.801,-55.257,0.0,top
R122,73.152,-96.707595,90.0,top
R123,74.801,-58.813,0.0,top
R124,69.596,-96.707595,90.0,top
R125,48.686,-68.974,90.0,top
R126,66.038,-96.707595,90.0,top
R127,52.242,-68.974,90.0,top
R128,62.484,-96.707595,90.0,top
R129,55.798,-68.974,90.0,top
R13,55.4555,-115.1865,0.0,top
R130,58.928,-96.707595,90.0,top
R131,59.354,-68.974,90.0,top
R132,55.372,-96.707595,90.0,top
R133,62.91,-68.974,90.0,top
R134,51.816,-96.707595,90.0,top
R135,66.466,-68.974,90.0,top
R136,48.26,-96.707595,90.0,top
R137,70.022,-68.974,90.0,top
R138,55.4535,-112.6465,0.0,top
R139,73.578,-68.974,90.0,top
R14,47.244,-96.707595,90.0,top
R140,55.4535,-116.2025,0.0,top
R141,55.4535,-119.7585,0.0,top
R142,49.149,-42.266,90.0,top
R143,50.165,-42.266,90.0,top
R144,52.705,-42.266,90.0,top
R145,53.721,-42.266,90.0,top
R146,56.261,-42.266,90.0,top
R147,57.277,-42.266,90.0,top
R148,55.4535,-113.6625,0.0,top
R149,55.4535,-117.2185,0.0,top
R15,50.8,-96.707595,90.0,top
R150,74.168,-83.008845,90.0,top
R151,70.612,-83.008845,90.0,top
R152,67.056,-83.008845,90.0,top
R153,63.5,-83.008845,90.0,top
R154,59.944,-83.008845,90.0,top
R155,56.388,-83.006845,90.0,top
R156,52.832,-83.008845,90.0,top
R157,49.276,-83.008845,90.0,top
R158,49.276,-96.707595,90.0,top
R159,52.832,-96.707595,90.0,top
R16,54.356,-96.707595,90.0,top
R160,56.388,-96.707595,90.0,top
